"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Daily Micro Learning section is visible; Instagram follow opens social destination.","105569","TC_HOME_020: Daily Micro Learning and Instagram follow are available","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Close control appears after Watch video opens lecture dialog; clicking it does not crash Dashboard.","27745","TC_DASH_015: Close button is available without crashing the dashboard","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"","21354","TC-051: Browser back from Forgot Password returns to usable login page","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Edge - Recovery Navigation","specs\loginPage.spec.js","",""
"Back navigates away from Switch Classes without error.","39390","TC_SWITCH_010: Back button exits Switch Classes page","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
"Documented .css-1iob08 card container is present on Manage Enrollments.","27848","TC_ENROLL_005: Content container / card element is present","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Enrollments Page","specs\enrollments_Page.spec.js","",""
"Filters heading, Filter by Quiz, Sort By, and Show Results are all visible.","27880","TC_QUIZTRACKING_003: Filters section with all three dropdowns visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"Clicking BackQuiz Performance bar navigates away from Quiz Tracking.","36845","TC_QUIZTRACKING_008: Back navigation exits Quiz Tracking page","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"","26177","TC-057: Subdomain email is handled","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Boundary - Email","specs\loginPage.spec.js","",""
"","34114","TC-015: Script injection in email is rejected and not executed","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Negative - Security","specs\loginPage.spec.js","",""
"Footer contact email info@offtheschool.io is visible.","42902","TC_HOME_028: Contact email info@offtheschool.io is visible in footer","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"","19682","TC-047: Form labels focus the correct fields","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Positive - Accessibility","specs\loginPage.spec.js","",""
"COMPUTER and MATHEMATICS subject name texts are visible on Dashboard.","37897","TC_DASH_021: Subject cards are individually identifiable by name","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"Start Learning redirects to course-details / chapter selection.","33403","TC_DASH_005: Start Learning navigates to subject module/chapter list","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"Both password labels and textboxes visible.","31987","TC_SIGNUP_004: Create Password and Confirm Password fields are present","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"Terms checkbox toggles.","61944","TC_SIGNUP_016: Terms agreement checkbox can be toggled","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"","35181","TC-068: Login page is usable on mobile viewport","chromium","2026-08-21","passed","2026-08-21","Login Page > P3 - Responsive","specs\loginPage.spec.js","",""
"","32036","TC-029: Single-label domain email is rejected","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Negative - Email Format","specs\loginPage.spec.js","",""
"Clicking Digital School Let's Start! redirects to /explore/digitalschool.","26633","TC_EXPLORE_002: Digital School Let's Start! redirects to Digital School catalog","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"Both category cards are visible together; CTAs remain reachable without overlap hiding them.","49780","TC_EXPLORE_006: Digital School and Skills Academy cards are both visible together","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"Grid / Carousel view toggles keep My Subjects usable.","39930","TC_SWITCH_006: Grid view and Carousel view controls are usable","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
"","66669","TC-058: Password with allowed special characters is handled","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Boundary - Password","specs\loginPage.spec.js","",""
"File upload input[type=""file""] is present in DOM.","37072","TC_PROFILE_020: File upload input exists for profile picture","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"CSS fallback .css-1iob08 content card container is present.","17775","TC_QUIZTRACKING_007: Content card container is present on page","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"","13445","TC-032: Password with leading or trailing spaces is not silently changed","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Negative - Input Handling","specs\loginPage.spec.js","",""
"Switching all tabs keeps My Profile heading stable.","30530","TC_PROFILE_012: Tab switching between Personal Info, Educational Info, Settings stays stable","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"All four You Are role labels visible.","16429","TC_PROFILE_006: Role labels (Parent, Teacher, Student, Professional) are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"","13325","TC-036: Google OAuth access_denied callback is handled","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Negative - Social Sign-In","specs\loginPage.spec.js","",""
"Logout link is visible in the sidebar.","74443","TC_DASH_020: Logout sidebar link is visible","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"Day streak gamification text is visible on Dashboard.","28254","TC_DASH_016: Day Streak gamification text is visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"Back to home exits immersive player to home or reels directory.","35025","TC_REELS_006: Back to home button exits the immersive Reels player","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Reels Page","specs\ReelsPage.spec.js","",""
"Direct favorite-chapters access without session redirects to login.","6442","TC_FAVCHAP_007: Unauthenticated access does not show favorites data","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Favorite Chapters Page","specs\favoriteChapters.spec.js","",""
"Double-clicking Watch video reaches a single stable dialog without crash.","55371","TC_SWITCH_013: Double-click Watch video does not break navigation","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
"Show Results dropdown reveals All Results, Latest 5/10/20/50.","61522","TC_QUIZTRACKING_015: Show Results dropdown shows result limit options","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"","22","TC_LEADERBOARD_011: Unauthenticated access does not show leaderboard data","chromium","2026-08-21","skipped","2026-08-21","OTS EdTech Leaderboard Page","specs\Leaderboard.spec.js","",""
"Grid view and Carousel view toggles keep My Subjects usable.","35185","TC_DASH_006: Grid view and Carousel view controls are usable","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"Invalid email + Send OTP does not transition to Verification OTP.","44397","TC_CHGPWD_008: Send OTP with invalid email format","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Change Password","specs\changePassword.spec.js","",""
"Clicking the standalone Back button navigates away from Quiz Tracking.","42223","TC_QUIZTRACKING_013: Back button navigates away from Quiz Tracking","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"","36036","TC-056: Email with plus alias is handled","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Boundary - Email","specs\loginPage.spec.js","",""
"After Send OTP, Verification OTP heading appears.","46364","TC_CHGPWD_004: Clicking Send OTP transitions to Verification OTP screen","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Change Password","specs\changePassword.spec.js","",""
"","64550","TC-059: Unicode password input is handled safely","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Boundary - Password","specs\loginPage.spec.js","",""
"Subscribe and View All Videos links open intended destinations.","70430","TC_HOME_019: Subscribe and View All Videos links open expected destinations","chromium","2026-08-21","broken","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Sidebar Enrollments opens Manage Enrollments heading / URL.","21644","TC_DASH_009: Sidebar Enrollments opens Manage Enrollments","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"Double-clicking Send OTP reaches a single stable state.","80729","TC_CHGPWD_009: Double-click Send OTP does not break the flow","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Change Password","specs\changePassword.spec.js","",""
"Clicking Home keeps or returns user to the homepage hero.","59223","TC_HOME_006: Home nav keeps user on the homepage","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Filter by Quiz dropdown reveals the All Quizzes option.","56887","TC_QUIZTRACKING_016: Filter by Quiz dropdown shows All Quizzes option","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"Terms and Privacy Policy links navigate without crash.","70862","TC_SIGNUP_007: Terms and Privacy Policy links are clickable","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"","25431","TC-050: Refreshing login page clears sensitive unsent password","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Edge - Privacy","specs\loginPage.spec.js","",""
"Educational Information heading visible after clicking Educational Info tab.","33383","TC_PROFILE_021: Educational Information heading appears after switching to Educational Info tab","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"","22211","TC-021: Pressing Enter submits valid credentials","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Positive - Keyboard","specs\loginPage.spec.js","",""
"Back to Home link navigates to home.","61868","TC_SIGNUP_015: Back to Home link is visible and clickable","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"Refreshing Switch Classes keeps headings visible.","37055","TC_SWITCH_011: Soft refresh keeps Switch Classes chrome visible","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
"","29714","TC-027: Email missing domain is rejected","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Negative - Email Format","specs\loginPage.spec.js","",""
"Double-clicking Open Chapter reaches a single stable lesson page.","48544","TC_FAVCHAP_008: Double-click Open Chapter does not break navigation","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Favorite Chapters Page","specs\favoriteChapters.spec.js","",""
"Refreshing Dashboard keeps Your Progress and My Subjects visible.","28553","TC_DASH_012: Soft refresh keeps Dashboard progress and My Subjects visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"First Name and Last Name accept typed input.","107206","TC_PROFILE_004: First Name and Last Name fields are editable","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"Reels header nav opens reels/micro-learning experience.","56090","TC_HOME_008: Reels nav opens micro-learning / reels","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Hero CTA text ""New: OTS Reels"" is visible on the homepage.","67842","TC_HOME_026: ""New: OTS Reels"" hero CTA is visible","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Page chrome stays visible; brittle BackManage EnrollmentsEnroll text is optional.","45233","TC_ENROLL_006: Header bar concatenated text is present if exposed","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Enrollments Page","specs\enrollments_Page.spec.js","",""
"My Subjects heading, enrolled count, and Watch video / Start Learning controls are present.","64112","TC_DASH_003: My Subjects section and enrolled subjects area are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"","15293","TC-065: Privacy Policy link opens correctly","chromium","2026-08-21","passed","2026-08-21","Login Page > P3 - Positive - Legal Link","specs\loginPage.spec.js","",""
"Back button is visible on Profile page.","51025","TC_PROFILE_019: Back button is visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"Digital School card is a distinct entry with heading and CTA; layout remains intact.","25368","TC_EXPLORE_003: Digital School card container and visuals are present","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"","20","TC_LEADERBOARD_003: Class context indicator shows active leaderboard scope","chromium","2026-08-21","skipped","2026-08-21","OTS EdTech Leaderboard Page","specs\Leaderboard.spec.js","",""
"Refreshing Manage Enrollments keeps heading, subtitle, and CTA visible.","44200","TC_ENROLL_007: Soft refresh keeps Manage Enrollments chrome visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Enrollments Page","specs\enrollments_Page.spec.js","",""
"","41900","TC-010: Unregistered or unauthorized email is rejected","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Negative - Authentication","specs\loginPage.spec.js","",""
"or with email divider visible.","27055","TC_SIGNUP_009: ""or with email"" divider is visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"Double-clicking Watch video reaches a stable lecture dialog without crash.","37365","TC_DASH_014: Double-click Watch video does not break navigation","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"","11013","TC-006: Sign-in is blocked when both required fields are empty","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Negative - Required Fields","specs\loginPage.spec.js","",""
"","53040","TC-026: Email missing local part is rejected","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Negative - Email Format","specs\loginPage.spec.js","",""
"","13480","TC-070: OTS logo image has accessible name","chromium","2026-08-21","passed","2026-08-21","Login Page > P3 - Accessibility","specs\loginPage.spec.js","",""
"","43568","TC-002: Direct sign-in succeeds when Remember me is selected","chromium","2026-08-21","failed","2026-08-21","Login Page > P0 - Positive - Primary Path","specs\loginPage.spec.js","",""
"Refreshing keeps heading visible.","33665","TC_SIGNUP_010: Soft refresh keeps Sign Up chrome visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"Email Address* label and textbox visible.","36376","TC_SIGNUP_003: Email Address label and textbox are present","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"","48361","TC-033: Uppercase email variant authenticates same account","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Positive - Input Handling","specs\loginPage.spec.js","",""
"Navigation SVG icon advances feed without breaking player.","19349","TC_REELS_005: Navigation Icon (SVG) advances to the next reel","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Reels Page","specs\ReelsPage.spec.js","",""
"Scroll down hint text is visible on reels feed.","6255","TC_REELS_003: Scroll Trigger hint is visible on the feed","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Reels Page","specs\ReelsPage.spec.js","",""
"Instructional text ""Start adding chapters"" is visible in empty state.","24357","TC_FAVCHAP_011: Empty state shows instructional text","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Favorite Chapters Page","specs\favoriteChapters.spec.js","",""
"Total Attempts, Quizzes Taken, Average Score, and Best Score stat cards are visible.","21094","TC_QUIZTRACKING_011: Summary stat cards are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"Refreshing the homepage keeps hero and nav visible.","64995","TC_HOME_024: Soft refresh keeps homepage stable","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"","41850","TC-014: Authentication service outage shows recoverable error","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Negative - Error State","specs\loginPage.spec.js","",""
"Accumulated XP count is visible on Dashboard.","30051","TC_DASH_017: Accumulated XP is visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"","28356","TC-003: Continue with Google starts Google authentication","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Positive - Social Sign-In","specs\loginPage.spec.js","",""
"YouTube Learning Hub section, logo, and channel metrics are visible.","36294","TC_HOME_018: YouTube Learning Hub content is visible","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"","13536","TC-022: Tab order supports efficient sign-in","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Positive - Accessibility","specs\loginPage.spec.js","",""
"","44731","TC-042: Password at minimum accepted length is handled","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Boundary - Password","specs\loginPage.spec.js","",""
"","8825","TC-067: Open reels button is discoverable and safe to activate","chromium","2026-08-21","passed","2026-08-21","Login Page > P3 - Edge - Media Control","specs\loginPage.spec.js","",""
"Sort By dropdown reveals Newest First, Oldest First, Highest Score, Lowest Score.","30918","TC_QUIZTRACKING_014: Sort By dropdown shows sorting options","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"Our Impact section and statistic cards are visible.","28808","TC_HOME_015: Our Impact statistics are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Weekly Progress and weekly goal text are visible on Dashboard.","23369","TC_DASH_018: Weekly Progress section is visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"All fields empty; observe behavior.","10446","TC_SIGNUP_012: Empty form submission edge case","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"Educational Info tab shows Institution Name and Passing Year.","27895","TC_PROFILE_009: Educational Info tab loads Institution Name and Passing Year fields","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"After Carousel view, Scroll Left/Right are clickable without breaking My Subjects.","42224","TC_SWITCH_007: Scroll Left / Scroll Right move the subjects carousel","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
"","61092","TC-016: SQL injection-like email input is rejected","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Negative - Security","specs\loginPage.spec.js","",""
"Your Progress heading and overall completion text visible without fixed percentage.","39337","TC_SWITCH_004: Your Progress section shows overall completion copy","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
"Refreshing Profile keeps heading visible.","125398","TC_PROFILE_013: Soft refresh keeps Profile chrome visible","chromium","2026-08-21","failed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"Footer Download App text and Google Play link are visible on Explore.","20879","TC_EXPLORE_012: Footer Download App and Google Play are visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"Nonsense search term is handled without crash or technical error dump.","48428","TC_HOME_005: Search with a nonexistent term shows no-match handling","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Personal Info tab present, First Name and Last Name visible by default.","21687","TC_PROFILE_003: Personal Info tab is active by default with form fields visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"Valid chapter search via Search chapters textbox does not crash and yields results or navigation.","65683","TC_HOME_003: Search with a valid chapter keyword returns relevant results","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Logged-in student reaches Dashboard with OTS logo, Dashboard nav, Your Progress, and My Subjects visible.","64847","TC_DASH_001: Authenticated student lands on Dashboard with key chrome visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"Footer quick links FAQ, Privacy Policy, Terms of Use are visible on Explore.","27437","TC_EXPLORE_011: Footer links FAQ, Privacy Policy, Terms of Use are visible","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"","16709","TC-007: Sign-in is blocked when email is empty","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Negative - Required Fields","specs\loginPage.spec.js","",""
"","45308","TC-052: Offline or network loss during login is handled","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Negative - Error State","specs\loginPage.spec.js","",""
"","46780","TC-049: Double-clicking Sign In does not create duplicate sessions","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Edge - Submission","specs\loginPage.spec.js","",""
"Refreshing /explore keeps both cards and Let's Start! CTAs visible.","48669","TC_EXPLORE_007: Soft refresh keeps Explore cards and CTAs visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"Your Progress heading and overall completion copy are visible without hard-coded percentages.","27623","TC_DASH_002: Your Progress section shows overall completion copy","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"Clicking Show Results keeps page heading visible.","33787","TC_QUIZTRACKING_006: Show Results trigger is clickable and page stays stable","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"","11288","TC-017: Password remains masked during entry and after failed login","chromium","2026-08-21","passed","2026-08-21","Login Page > P0 - Negative - Security","specs\loginPage.spec.js","",""
"","43682","TC-063: Snail micro-interaction does not block form completion","chromium","2026-08-21","passed","2026-08-21","Login Page > P3 - Micro-interaction","specs\loginPage.spec.js","",""
"Double-clicking Enroll in New Course reaches a single stable catalog page.","42393","TC_ENROLL_009: Double-click Enroll in New Course does not break navigation","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Enrollments Page","specs\enrollments_Page.spec.js","",""
"","12159","TC-061: OTS logo remains accessible and does not trigger unintended login","chromium","2026-08-21","passed","2026-08-21","Login Page > P3 - Edge - Navigation","specs\loginPage.spec.js","",""
"Select Your Class heading, Available Classes, Choose from enrolled, and Class button are visible.","46210","TC_SWITCH_002: Select Your Class module labels are visible","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Switch Classes Page","specs\switchClasses.spec.js","",""
